reason,xlsx_date,row,col,xlsx_title,xlsx_time,candidate1_project,candidate1_score,candidate2_project,candidate2_score,candidate3_project,candidate3_score
low_confidence_or_ambiguous,2026-03-22,7,4,Endless Poetry,6-7 PM,The Poetry Salon,53.3,The Poetry House,53.3,The Poetry Brothel,50.0
low_confidence_or_ambiguous,2026-03-22,8,4,BBB Community Potluck,7-8 PM,The Holy Sinner’s Shrine,48.5,,,,
low_confidence_or_ambiguous,2026-03-22,9,4,BBB Community Meeting,8-9 PM,Not Currently Named,45.0,,,,
low_confidence_or_ambiguous,2026-03-24,16,4,Legends Coffee Club,10 AM-12 PM,Everything I Desire Is Already Mine,48.5,,,,
low_confidence_or_ambiguous,2026-03-24,24,4,Little Little Italy Italian Festival,6-7:30 PM,Italia Fest,46.8,,,,
low_confidence_or_ambiguous,2026-03-25,36,4,The Dulcinée Dialectic,4-7 PM,A Piece of Hell's Kitchen: The Family Fridge,50.0,The Final Weighing ,50.0,The Holy Sinner’s Shrine,47.8
duplicate_match_conflict,2026-03-26,49,5,The Magic Carpet Ride,6-10 PM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-26,51,4,The Nest Opening Ceremony,7-8 PM,The X-Zoetrope Turbine,51.1,The Last Supper,50.0,The LiT Landing,50.0
low_confidence_or_ambiguous,2026-03-26,53,7,Opening Party,8:30 PM-12 AM,Pyrotechnic symphony ,53.8,Taco Da Party,53.8,Queen Marth,50.0
low_confidence_or_ambiguous,2026-03-26,55,5,Last Flight Home,9-11 PM,Re-inanim-ation,54.5,Butterfly Pavilion ,53.3,The Last Judgement,47.1
low_confidence_or_ambiguous,2026-03-26,56,4,The Last Canter,10 PM-12 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
duplicate_match_conflict,2026-03-27,60,6,The Salton Sea Museum & Library,8 AM-2 PM,The Salton Sea Museum and Library ,100.0,Salton Sea Synth,53.1,The Social Equilibrium Calibration Unit,52.8
no_candidate,2026-03-27,62,5,Group Meditation: Morning Session,10-10:30 AM,,,,,,
low_confidence_or_ambiguous,2026-03-27,64,5,Vibroacoustic Experience*,11 AM-1 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
low_confidence_or_ambiguous,2026-03-27,64,7,Beats with Keeks,11 AM-12 PM,America is burning,56.2,SKY WHITE TIGER : PSYCHIC BRIDES,45.2,,
no_candidate,2026-03-27,69,5,"Writing from the Heart & Soul, Part 1",2-3 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,69,6,Radio Pool Party,2-4 PM,Taco Da Party,62.1,DIA LUNA : Sanctuary,47.1,Dino pez dispenser ,47.1
low_confidence_or_ambiguous,2026-03-27,69,14,GRUB (Snacks),2-5 PM,L oo K,47.6,The Human Cactus Memorial,47.6,How to Freestyle Rap,45.5
low_confidence_or_ambiguous,2026-03-27,71,7,BBAC Art Auction,3-5 PM,Magic Carpet Ride,48.5,Bomb Boat Bay,48.0,Bombay Beach Retrospective,47.6
no_candidate,2026-03-27,73,4,Does Fedex Believe in Soul?,4-5 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,73,5,Gaza Cafe,4-8 PM,L and the Angel Cat,63.2,The X-Zoetrope Turbine,52.6,Cafe Bosna,50.0
low_confidence_or_ambiguous,2026-03-27,73,6,The Silvertongued Devil Speaks,4-5pm,Silver Tongued Devil: A Speaker-Creature,72.5,The Salton Sea Museum and Library ,47.6,The Last Chord Divine,47.1
no_candidate,2026-03-27,75,4,"Building on Questionable Foundations: An introduction to Philosophy, Art, Architecture, and Life in Bombay Beach",5-6 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,75,7,Vibroacoustic Experience*,5-7 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
no_candidate,2026-03-27,75,8,AARB (American Association of Retired Burners) present,5-7 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,75,14,GRUB (Dinner),5-11 PM,Respite Tea House ,52.2,A Gentle Place Before the End,48.0,Remnant,47.6
low_confidence_or_ambiguous,2026-03-27,76,6,"The Bombay Beach Vow"" Toso",5:30-7 PM,Bombay Beach Retrospective,62.7,Bombay Beach Binoculars,62.5,Bombay Beach Surf Club,59.6
duplicate_match_conflict,2026-03-27,76,16,Cafe Bosna,6 PM-6 AM,Cafe Bosna,100.0,Westlandia Desert Oasis,52.2,SHRiNKRAY,50.0
low_confidence_or_ambiguous,2026-03-27,77,10,Worldjourney,6-8 PM,The Kraken,46.2,Remnant,45.5,,
low_confidence_or_ambiguous,2026-03-27,77,12,Group Meditation: Afternoon Session,6-6:30 PM,Grounded: Loss at the Salton Sea,49.2,,,,
low_confidence_or_ambiguous,2026-03-27,77,15,Behn (DJ Set),6-9 PM,Wildebeets (DJ set),66.7,The X-Zoetrope Turbine,47.6,The LiT Landing,45.5
duplicate_match_conflict,2026-03-27,78,12,The Magic Carpet Ride*,6 PM-2 AM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-27,79,4,The Last Party,7 PM-11 PM,The Last Supper,75.9,The Last Judge,66.7,The Last Judgement,66.7
no_candidate,2026-03-27,79,6,Sunset DJ & Cocktail Hour,7-8 PM,,,,,,
low_confidence_or_ambiguous,2026-03-27,79,7,Globalschism,7-9 PM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
low_confidence_or_ambiguous,2026-03-27,79,8,Martian Takeover,7-9 PM,Prepared Tape Loops,53.3,Quesadilla Communion,50.0,Tiny Closet On Wheels,50.0
duplicate_match_conflict,2026-03-27,79,13,Messages from Space,7-9 PM,Messages from Space,100.0,Derangers Before the Playa,48.9,The First Supper,45.7
low_confidence_or_ambiguous,2026-03-27,81,6,Bombay Beach,7:30-9:30 PM,The Poetry Salon,92.0,‘All In’ at the End of the World,92.0,Mapping the Sacrifice Zone,92.0
low_confidence_or_ambiguous,2026-03-27,81,9,S.S.S.S.S's Shared Telescope Sesh,8-9 PM,We Shall Have the Eyes to See,49.1,,,,
low_confidence_or_ambiguous,2026-03-27,81,10,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
low_confidence_or_ambiguous,2026-03-27,81,11,Karaoke,8 PM-1 AM,The Kraken,58.8,Kiamora,57.1,Pharaoh and Tarot,57.1
low_confidence_or_ambiguous,2026-03-27,81,15,hex null,8 PM-2 AM,The Toll,62.5,Everything I Desire Is Already Mine,45.5,,
low_confidence_or_ambiguous,2026-03-27,83,5,Jerzy del Mar,9-11:30 PM,The Karass Carcass,53.3,Queen Marth,50.0,Mapping the Sacrifice Zone,48.0
low_confidence_or_ambiguous,2026-03-27,83,7,Lescher Martitti Bar,9 PM-2 AM,Mapping the Sacrifice Zone,50.0,Oracle Booth,50.0,The Titty Twister,48.6
low_confidence_or_ambiguous,2026-03-27,83,8,BB Sauna Launch,9-10 PM,DIA LUNA : Sanctuary,48.5,Salton Sea Stellar Sky Society: Star Sight Site,48.3,,
duplicate_match_conflict,2026-03-27,83,13,ORACLE BOOTH,9 PM-12 AM,Oracle Booth,100.0,The Final Weighing ,52.2,San Litio (Saint Lithium),47.6
low_confidence_or_ambiguous,2026-03-27,84,4,Opera & Ballet,9:30-10:30 PM,Pharaoh and Tarot,60.6,SAND CASTLE,51.9,Operating Conditions,50.0
low_confidence_or_ambiguous,2026-03-27,84,9,LOST SOUL TRAIN,9:30 PM-12 AM,CHIRON TREE: A 12-POINT GRID INSTALLATION,48.3,Sound Tree,48.0,The Last Supper,46.7
low_confidence_or_ambiguous,2026-03-27,85,10,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
low_confidence_or_ambiguous,2026-03-27,85,12,Apocalypse Boombox,10 PM-12 AM,Oracle Booth,53.3,Opartcalypse,53.3,Art Basil | Bombay,47.1
low_confidence_or_ambiguous,2026-03-27,85,15,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
low_confidence_or_ambiguous,2026-03-27,87,4,Flamenco Performance,11 PM-12 AM,Initials B.B. II,57.1,Taco Da Party,54.5,SYZYGY,46.7
low_confidence_or_ambiguous,2026-03-27,87,13,Late Night Bliss,11 PM-3 AM,water lilies,50.0,The Final Weighing ,47.1,Empathy Bleed,46.7
low_confidence_or_ambiguous,2026-03-27,87,14,Beats Without Borders:,11 PM-3 AM,America is burning,48.6,Re-inanim-ation,47.4,SKY WHITE TIGER : PSYCHIC BRIDES,47.1
low_confidence_or_ambiguous,2026-03-27,88,5,Heidi Lawden & LoveFingers (B2B),11:30 PM-3 AM,"Birth, Life and Becoming",47.3,The LiT Landing,46.8,The Last Chord Divine,45.3
low_confidence_or_ambiguous,2026-03-28,90,5,Heidi Lawden & LoveFingers (B2B),11:30 PM-3 AM,"Birth, Life and Becoming",47.3,The LiT Landing,46.8,The Last Chord Divine,45.3
low_confidence_or_ambiguous,2026-03-28,90,6,Globalschism,12-2 AM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
low_confidence_or_ambiguous,2026-03-28,90,7,Lescher Martitti Bar,9 PM-2 AM,Mapping the Sacrifice Zone,50.0,Oracle Booth,50.0,The Titty Twister,48.6
low_confidence_or_ambiguous,2026-03-28,90,9,LOST SOUL,12-2 AM,The Last Supper,50.0,PoP.  a MACEPS project,50.0,GHOST LAYERS,47.6
low_confidence_or_ambiguous,2026-03-28,90,10,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
duplicate_match_conflict,2026-03-28,90,12,The Magic Carpet Ride*,6 PM-2 AM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-28,90,13,Late Night Bliss,11 PM-3 AM,water lilies,50.0,The Final Weighing ,47.1,Empathy Bleed,46.7
low_confidence_or_ambiguous,2026-03-28,90,14,Beats Without Borders:,11 PM-3 AM,America is burning,48.6,Re-inanim-ation,47.4,SKY WHITE TIGER : PSYCHIC BRIDES,47.1
low_confidence_or_ambiguous,2026-03-28,90,15,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
duplicate_match_conflict,2026-03-28,90,16,Cafe Bosna,6 PM-6 AM,Cafe Bosna,100.0,Westlandia Desert Oasis,52.2,SHRiNKRAY,50.0
duplicate_match_conflict,2026-03-28,91,4,The Jazz Club*,12:30-2:30 AM,"The Jazz Club at the DORD , sponsored by YARGER PROJECTS ",92.0,The Magic Mailbox,53.3,The Last Supper,50.0
duplicate_match_conflict,2026-03-28,101,10,The Salton Sea Museum & Library,8 AM-2 PM,The Salton Sea Museum and Library ,100.0,Salton Sea Synth,53.1,The Social Equilibrium Calibration Unit,52.8
low_confidence_or_ambiguous,2026-03-28,101,15,GRUB (All Day),8 AM-11 PM,Opartcalypse,51.9,Art Basil | Bombay,50.0,Bomb Boat Bay,48.0
no_candidate,2026-03-28,102,4,Talk on Anarchistic Gardening Principles & Tour of the Meditation Gardens with Satya,9-10 AM,,,,,,
low_confidence_or_ambiguous,2026-03-28,103,4,The Eurabia Myth:,10-11 AM,THE VOICE THAT SURVIVED THE SUN ,62.1,The Poetry Brothel,52.9,The Magic Mailbox,48.5
no_candidate,2026-03-28,103,5,Group Meditation: Morning Session,10-10:30 AM,,,,,,
duplicate_match_conflict,2026-03-28,103,6,Mamacita Junior the 3rd,10-11 AM,Mamacita Junior the 3rd,100.0,A Gentle Place Before the End,46.2,America is burning,46.2
duplicate_match_conflict,2026-03-28,103,8,okay you*,10-11 AM,okay you,100.0,The World’s Tallest Ghosts Reassessed ,53.3,The Holy Sinner’s Shrine,50.0
low_confidence_or_ambiguous,2026-03-28,104,5,Wake the Fuck Up,10:30-11 AM,Answer the Call ,51.6,The First Supper,50.0,Galactic Candy Cane Dance,46.2
low_confidence_or_ambiguous,2026-03-28,105,7,Care Club,11 AM-1 PM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
low_confidence_or_ambiguous,2026-03-28,105,8,Vibroacoustic Experience*,11 AM-1 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
no_candidate,2026-03-28,105,9,Burger Burn Fundraiser,11 AM-3 PM,,,,,,
low_confidence_or_ambiguous,2026-03-28,105,12,The Last Party,11 AM-12 AM,The Last Supper,75.9,The Last Judge,66.7,The Last Judgement,66.7
low_confidence_or_ambiguous,2026-03-28,106,5,God / Is,11:30 AM-12:30 PM,God Is / Sustenance,80.0,We are one,50.0,,
low_confidence_or_ambiguous,2026-03-28,107,6,Sunshine Dreams:,12-5 PM,Moral Development Dice Bar,59.3,Opartcalypse,53.3,SHRiNKRAY,50.0
low_confidence_or_ambiguous,2026-03-28,107,11,Pizza & the Pioneers of,12-4 PM,L and the Angel Cat,54.5,America is burning,53.7,AI and the Apocalyptic Imagination,47.5
low_confidence_or_ambiguous,2026-03-28,111,4,Bombay Beach Community Chorus,2-3 PM,Bombay Beach Surf Club,66.7,Bombay Beach Binoculars,65.4,"The Bombay Beach Country Club, The 6th Hole @Neptune ",60.8
duplicate_match_conflict,2026-03-28,111,10,Origami w/ April Leighton,2-5 PM,Butterfly Pavilion ,92.0,AI and the Apocalyptic Imagination,49.2,Derangers Before the Playa,45.0
low_confidence_or_ambiguous,2026-03-28,113,4,Self Creation,3-4 PM,Precision,53.8,Derangers Before the Playa,53.8,We are one,52.2
low_confidence_or_ambiguous,2026-03-28,113,7,"TILAPIA TANK"": An Improv Business Game Show for the End Times",3-5 PM,"SILICON WASTELAND PRESENTS ""TILAPIA TANK"": A BUSINESS GAME SHOW IMPROV FOR THE END TIME",72.0,,,,
no_candidate,2026-03-28,114,4,"Judgment, Alienation, and the Constant Possibility of Being Seen",4-5 PM,,,,,,
low_confidence_or_ambiguous,2026-03-28,114,6,Gaza Cafe,4-10 PM,L and the Angel Cat,63.2,The X-Zoetrope Turbine,52.6,Cafe Bosna,50.0
low_confidence_or_ambiguous,2026-03-28,114,11,Mumbai Beach,4-6 PM,Bombay Bliss Beach Club,57.1,Bombay Beach Surf Club,52.9,Bacterial Beats,51.9
no_candidate,2026-03-28,116,4,"Writing from the Heart & Soul, Part 2",5-6 PM,,,,,,
low_confidence_or_ambiguous,2026-03-28,116,7,Vibroacoustic Experience*,5-7 PM,Mural Painting Experience,57.1,An Acoustic Drum Set,45.5,,
low_confidence_or_ambiguous,2026-03-28,116,9,Charlie Chaplin Pop-Up Bar,5-8 PM,The Self-Witnessing Structures (SAS),45.5,Ann-Marie Lindblad Performs!,45.5,,
no_candidate,2026-03-28,116,14,AARB (American Association of Retired Burners) present,5-7 PM,,,,,,
low_confidence_or_ambiguous,2026-03-28,117,5,Group Meditation: Afternoon Session,5:30-6 PM,Grounded: Loss at the Salton Sea,49.2,,,,
low_confidence_or_ambiguous,2026-03-28,118,4,Memorial Procession,6-7 PM,‘All In’ at the End of the World,55.0,Precision,50.0,America is burning,48.6
duplicate_match_conflict,2026-03-28,118,12,The Magic Carpet Ride*,6 PM-2 AM,Magic Carpet Ride,92.0,The Magic Mailbox,63.2,THE VOICE THAT SURVIVED THE SUN ,53.8
low_confidence_or_ambiguous,2026-03-28,118,13,Behn (DJ Set),6-9 PM,Wildebeets (DJ set),66.7,The X-Zoetrope Turbine,47.6,The LiT Landing,45.5
duplicate_match_conflict,2026-03-28,118,16,Cafe Bosna,6 PM-6 AM,Cafe Bosna,100.0,Westlandia Desert Oasis,52.2,SHRiNKRAY,50.0
low_confidence_or_ambiguous,2026-03-28,120,4,Martian Film Festival,7-9 PM,Italia Fest,50.0,Stampede,48.6,America is burning,48.6
low_confidence_or_ambiguous,2026-03-28,120,5,Alex & Monica’s Shotgun Wedding,7-7:30 PM,America is burning,47.1,,,,
low_confidence_or_ambiguous,2026-03-28,120,7,Globalschism,7-9 PM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
duplicate_match_conflict,2026-03-28,120,14,Messages from Space,7-9 PM,Messages from Space,100.0,Derangers Before the Playa,48.9,The First Supper,45.7
low_confidence_or_ambiguous,2026-03-28,122,6,S.S.S.S.S's Shared Telescope Sesh,8-9 PM,We Shall Have the Eyes to See,49.1,,,,
low_confidence_or_ambiguous,2026-03-28,122,10,The Alphabet of Pleasure (Songs of Agony and Ecstasy),8-9 PM,The Salton Sea Museum and Library ,45.2,,,,
duplicate_match_conflict,2026-03-28,122,11,The First Supper - An Alchemical Tasting and Tea Ceremony,8-10 PM,The First Supper,92.0,The New World - Gallery Closing & Gift Shop Event,46.3,,
duplicate_match_conflict,2026-03-28,122,12,ORACLE BOOTH,8 PM-2 AM,Oracle Booth,100.0,The Final Weighing ,52.2,San Litio (Saint Lithium),47.6
low_confidence_or_ambiguous,2026-03-28,122,13,ODE and Kinney,8-9 PM,Respite Tea House ,76.9,"Sun Shine Dreams: Legends of Bomabay Beach, Unconditional Love and Stuff",60.0,Duplicity and Divinity,58.1
low_confidence_or_ambiguous,2026-03-28,122,14,hex null,8 PM-2 AM,The Toll,62.5,Everything I Desire Is Already Mine,45.5,,
duplicate_match_conflict,2026-03-28,123,7,Mamacita Junior the 3rd,8-9 PM,Mamacita Junior the 3rd,100.0,A Gentle Place Before the End,46.2,America is burning,46.2
low_confidence_or_ambiguous,2026-03-28,124,4,Opera & Ballet,9-10 PM,Pharaoh and Tarot,60.6,SAND CASTLE,51.9,Operating Conditions,50.0
low_confidence_or_ambiguous,2026-03-28,124,6,Gaza Cafe,4-10 PM,L and the Angel Cat,63.2,The X-Zoetrope Turbine,52.6,Cafe Bosna,50.0
low_confidence_or_ambiguous,2026-03-28,124,10,Karaoke,9 PM-1 AM,The Kraken,58.8,Kiamora,57.1,Pharaoh and Tarot,57.1
duplicate_match_conflict,2026-03-28,124,14,My Niland II (Ten Checkpoints),7 PM-7 AM,My Niland II (Ten Checkpoints),100.0,,,,
duplicate_match_conflict,2026-03-28,126,6,The Jazz Club*,10 PM-12 AM,"The Jazz Club at the DORD , sponsored by YARGER PROJECTS ",92.0,The Magic Mailbox,53.3,The Last Supper,50.0
low_confidence_or_ambiguous,2026-03-28,126,7,Care Club,10 PM-2 AM,The Last Judgement,56.0,Cafe Bosna,52.6,Answer the Call ,50.0
duplicate_match_conflict,2026-03-28,126,8,Pickle That Up presents THE SACRAMENT OF THE HOLY BRINE,10 PM-2 AM,Pickle That Up presents THE SACRAMENT OF THE HOLY BRINE,100.0,Secret Society of the Palms,50.5,‘All In’ at the End of the World,48.3
low_confidence_or_ambiguous,2026-03-28,126,9,Martian Takeover,10 PM-2 AM,Prepared Tape Loops,53.3,Quesadilla Communion,50.0,Tiny Closet On Wheels,50.0
low_confidence_or_ambiguous,2026-03-28,126,10,Party for Peace,10 PM-2 AM,Suspended Judgment,56.0,Messages from Space,52.9,Opartcalypse,51.9
low_confidence_or_ambiguous,2026-03-28,126,11,Willy Mason,10-11 PM,ECOTECHNO 4DXYZ,52.2,Ambient Atlas,50.0,While It Lasts,48.0
low_confidence_or_ambiguous,2026-03-28,126,12,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
low_confidence_or_ambiguous,2026-03-28,126,15,Garbage Futurism: Post Waste,10 PM-2 AM,Messages from Space,47.8,The Titty Twister,45.5,,
low_confidence_or_ambiguous,2026-03-28,128,4,The Pussycat Lounge w/ Toledo,11 PM-2 AM,Tea lounge Ong Ong,53.1,Aerial silks performing arts and workshops,45.5,The SCAR Wash,45.5
low_confidence_or_ambiguous,2026-03-28,128,5,Adam Freeland,11 PM-1 AM,Numen,58.3,Grounded: Loss at the Salton Sea,55.2,Only players left alive ,48.0
low_confidence_or_ambiguous,2026-03-28,128,7,Bar Lescher – Nightclub Edition,,Butterfly Pavilion ,48.9,Bombay Beach Surf Club,45.3,,
low_confidence_or_ambiguous,2026-03-28,128,11,Daughn Gibson,11 PM-12 AM,The Karass Carcass,46.7,Bombay Bliss Beach Club,46.7,Ashes and Breath: A Rite of Impermanence,45.5
low_confidence_or_ambiguous,2026-03-28,128,13,DESERT BEACH,11 PM-12 AM,Respite Tea House ,48.3,The SCAR Wash,48.0,Emergence,47.6
low_confidence_or_ambiguous,2026-03-28,129,9,Martian Takeover,10 PM-2 AM,Prepared Tape Loops,53.3,Quesadilla Communion,50.0,Tiny Closet On Wheels,50.0
low_confidence_or_ambiguous,2026-03-29,131,4,The Pussycat Lounge w/ Toledo,11 PM-2 AM,Tea lounge Ong Ong,53.1,Aerial silks performing arts and workshops,45.5,The SCAR Wash,45.5
low_confidence_or_ambiguous,2026-03-29,131,5,Adam Freeland,11 PM-1 AM,Numen,58.3,Grounded: Loss at the Salton Sea,55.2,Only players left alive ,48.0
low_confidence_or_ambiguous,2026-03-29,131,6,Globalschism,12-2 AM,How to Freestyle Rap,52.2,An information-theoretic recapitulation of God in the form of a public figure,46.7,Lomochrome,45.5
low_confidence_or_ambiguous,2026-03-29,131,7,Bar Lescher – Nightclub Edition,,Butterfly Pavilion ,48.9,Bombay Beach Surf Club,45.3,,
duplicate_match_conflict,2026-03-29,131,8,Pickle That Up presents THE SACRAMENT OF THE HOLY BRINE,10 PM-2 AM,Pickle That Up presents THE SACRAMENT OF THE HOLY BRINE,100.0,Secret Society of the Palms,50.5,‘All In’ at the End of the World,48.3
low_confidence_or_ambiguous,2026-03-29,131,9,Martian Takeover,10 PM-2 AM,Prepared Tape Loops,53.3,Quesadilla Communion,50.0,Tiny Closet On Wheels,50.0
low_confidence_or_ambiguous,2026-03-29,131,10,Party for Peace,10 PM-2 AM,Suspended Judgment,56.0,Messages from Space,52.9,Opartcalypse,51.9
low_confidence_or_ambiguous,2026-03-29,131,11,Bad Owl and Friends,12 AM-1 AM,Numen,53.3,Harpazo,53.1,Sima & Sidu,50.0
low_confidence_or_ambiguous,2026-03-29,131,12,The Last Canter,10 PM-2 AM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
duplicate_match_conflict,2026-03-29,131,14,My Niland II (Ten Checkpoints),7 PM-7 AM,My Niland II (Ten Checkpoints),100.0,,,,
low_confidence_or_ambiguous,2026-03-29,131,15,Garbage Futurism: Post Waste,10 PM-2 AM,Messages from Space,47.8,The Titty Twister,45.5,,
duplicate_match_conflict,2026-03-29,131,16,Cafe Bosna,6 PM-6 AM,Cafe Bosna,100.0,Westlandia Desert Oasis,52.2,SHRiNKRAY,50.0
low_confidence_or_ambiguous,2026-03-29,133,5,Danna Habbibi Takeover,1-3 AM,DIA LUNA : Sanctuary,45.0,,,,
low_confidence_or_ambiguous,2026-03-29,133,11,TRADEWINDS DANCE PARTY,1-4 AM,Taco Da Party,62.9,Moral Development Dice Bar,50.0,ACTIVE SEA ENHANCEMENT PROJECT,46.2
low_confidence_or_ambiguous,2026-03-29,135,5,Sean Horton,3-5 AM,Ghost Cadillac ,60.0,Mapping the Sacrifice Zone,52.2,The Karass Carcass,50.0
low_confidence_or_ambiguous,2026-03-29,137,5,Melissa EMRT,5-7 AM,Italia Fest,52.2,Echoes of a Dying Sea,48.0,The Last Judge,45.5
low_confidence_or_ambiguous,2026-03-29,137,8,The Dawn of Forever,5 AM-12 PM,WHAT THE BODY OWES THE FIRE,47.8,The Last Supper,47.1,Eat Pray Cult,45.7
low_confidence_or_ambiguous,2026-03-29,138,4,Brighter Future Sunrise Party,6-10 AM,Baroque Sunburst,48.9,The Titty Twister,46.4,,
low_confidence_or_ambiguous,2026-03-29,139,5,Luna 1341,7-9 AM,DIA LUNA : Sanctuary,50.0,,,,
low_confidence_or_ambiguous,2026-03-29,140,7,GRUB (Brunch),8 AM-2 PM,Anthropogenesis,60.0,,,,
low_confidence_or_ambiguous,2026-03-29,141,9,The First Judgement,9-11 AM,The Last Judgement,86.5,The Last Judge,72.7,Scale of judgement,70.3
duplicate_match_conflict,2026-03-29,142,4,okay you*,10-11 AM,okay you,100.0,The World’s Tallest Ghosts Reassessed ,53.3,The Holy Sinner’s Shrine,50.0
no_candidate,2026-03-29,142,6,Group Meditation: Morning Session,10-10:30 AM,,,,,,
low_confidence_or_ambiguous,2026-03-29,144,4,The Damned Quilting Assembly,11 AM-12 PM,A Piece of Hell's Kitchen: The Family Fridge,45.2,,,,
low_confidence_or_ambiguous,2026-03-29,144,6,The Last Party,11 AM-2 PM,The Last Supper,75.9,The Last Judge,66.7,The Last Judgement,66.7
low_confidence_or_ambiguous,2026-03-29,145,4,Bombaes on the Porch,12-1 PM,THE FOUR HORSES OF THE APOCALYPSE,49.1,Bombay Beach Biennale App,48.9,Derangers Before the Playa,47.8
low_confidence_or_ambiguous,2026-03-29,145,5,Sun Shine Dreams: Legends of Bombay Beach,12-5 PM,"Sun Shine Dreams: Legends of Bomabay Beach, Unconditional Love and Stuff",72.7,Art Basil | Bombay,46.3,Mella Tarantella--Risorga e Balla con i Morti e Vivi alla Fine Dei Giorni,46.2
low_confidence_or_ambiguous,2026-03-29,148,6,The Dulcinée Dialectic,2-4 PM,A Piece of Hell's Kitchen: The Family Fridge,50.0,The Final Weighing ,50.0,The Holy Sinner’s Shrine,47.8
low_confidence_or_ambiguous,2026-03-29,149,4,Endless Poetry,3-5 PM,The Poetry Salon,53.3,The Poetry House,53.3,The Poetry Brothel,50.0
low_confidence_or_ambiguous,2026-03-29,152,4,Writing from the,5-6 PM,America is burning,50.0,Derangers Before the Playa,47.6,Immortalization Of Self ,46.2
low_confidence_or_ambiguous,2026-03-29,152,7,Experimental Shorts,5-6:30 PM,Respite Tea House ,50.0,Anxious Attachment - A short play,50.0,Suspended Judgment,48.3
low_confidence_or_ambiguous,2026-03-29,154,6,Group Meditation: Afternoon Session,6-6:30 PM,Grounded: Loss at the Salton Sea,49.2,,,,
duplicate_match_conflict,2026-03-29,154,8,ORACLE BOOTH,6-10 PM,Oracle Booth,100.0,The Final Weighing ,52.2,San Litio (Saint Lithium),47.6
duplicate_match_conflict,2026-03-29,156,7,The First Supper Leftovers,7-8 PM,The First Supper,92.0,The Last Supper,63.4,3D Therapy in Perspective,51.0
low_confidence_or_ambiguous,2026-03-29,157,6,LEGENDS of Bombay Beach,7:30-8 PM,Bombay Beach Binoculars,57.1,Bombay Beach Retrospective,57.1,Echoes of a Dying Sea,54.5
low_confidence_or_ambiguous,2026-03-29,158,5,The Last Canter,8 PM-10 PM,The Last Supper,73.3,The Last Judge,69.0,The Last Judgement,66.7
